"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.57,0.353,4.441,0
"AcceptOffer_lag1",-0.035,0.069,-0.516,0.606
"ReappraisalDirectionResourcesRepempathy",0.932,0.251,3.711,0
"ReappraisalDirectionResourcesRepreputation",-2.972,0.26,-11.433,0
"ReappraisalDirectionResourcesRepresources",-0.519,0.259,-2.003,0.045
"scale(fairLR)",2.171,0.096,22.653,0
"scale(totalStake)",0.03,0.068,0.447,0.655
"group4control",0.018,0.542,0.034,0.973
"group4depression",0.811,0.555,1.462,0.144
"group4ideator",0.475,0.559,0.85,0.395
"ReappraisalDirectionResourcesRepempathy:scale(fairLR)",-1.327,0.103,-12.915,0
"ReappraisalDirectionResourcesRepreputation:scale(fairLR)",-1.267,0.11,-11.574,0
"ReappraisalDirectionResourcesRepresources:scale(fairLR)",-0.897,0.113,-7.939,0
"ReappraisalDirectionResourcesRepempathy:scale(totalStake)",0.076,0.08,0.952,0.341
"ReappraisalDirectionResourcesRepreputation:scale(totalStake)",0.159,0.092,1.733,0.083
"ReappraisalDirectionResourcesRepresources:scale(totalStake)",0.201,0.098,2.064,0.039
"scale(fairLR):scale(totalStake)",-0.133,0.063,-2.104,0.035
"ReappraisalDirectionResourcesRepempathy:group4control",1.013,0.398,2.546,0.011
"ReappraisalDirectionResourcesRepreputation:group4control",-0.123,0.406,-0.302,0.762
"ReappraisalDirectionResourcesRepresources:group4control",0.67,0.407,1.646,0.1
"ReappraisalDirectionResourcesRepempathy:group4depression",-0.146,0.404,-0.361,0.718
"ReappraisalDirectionResourcesRepreputation:group4depression",-0.261,0.412,-0.633,0.527
"ReappraisalDirectionResourcesRepresources:group4depression",0.367,0.419,0.875,0.381
"ReappraisalDirectionResourcesRepempathy:group4ideator",0.869,0.415,2.095,0.036
"ReappraisalDirectionResourcesRepreputation:group4ideator",-0.581,0.425,-1.37,0.171
"ReappraisalDirectionResourcesRepresources:group4ideator",0.478,0.422,1.132,0.258
"scale(fairLR):group4control",0.121,0.1,1.213,0.225
"scale(fairLR):group4depression",-0.127,0.096,-1.324,0.186
"scale(fairLR):group4ideator",0.214,0.106,2.011,0.044
"scale(totalStake):group4control",-0.16,0.083,-1.919,0.055
"scale(totalStake):group4depression",-0.065,0.083,-0.788,0.43
"scale(totalStake):group4ideator",-0.098,0.088,-1.118,0.264
"ReappraisalDirectionResourcesRepempathy:scale(fairLR):scale(totalStake)",0.152,0.088,1.718,0.086
"ReappraisalDirectionResourcesRepreputation:scale(fairLR):scale(totalStake)",0.042,0.098,0.426,0.67
"ReappraisalDirectionResourcesRepresources:scale(fairLR):scale(totalStake)",0.137,0.103,1.32,0.187
